State,Atmospheric Condition,Crash Date,Fatalities in crash,Roadway,Age,Person Type,Injury Severity,Crash Date.day-of-week
Wyoming,Clear,5/9/2011,1,Rural-Principal Arterial-Other,49,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),1
Idaho,"Fog, Smog, Smoke",5/9/2011,1,Rural-Principal Arterial-Other,18,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),1
Connecticut,Clear,5/10/2011,1,Urban-Minor Arterial,82,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),2
South Dakota,Rain,5/11/2011,1,Rural-Principal Arterial-Other,25,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
Idaho,Clear,5/11/2011,2,Rural-Principal Arterial-Other,57,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),3
Nebraska,Rain,5/11/2011,1,Rural-Principal Arterial-Other,28,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),3
Nebraska,Rain,5/11/2011,1,Rural-Principal Arterial-Other,32,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
Nebraska,Rain,5/11/2011,1,Rural-Principal Arterial-Other,33,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
Vermont,Clear,5/12/2011,1,Urban-Collector,42,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Alaska,Clear,5/12/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,13,Pedestrian,Fatal Injury (K),4
Alaska,Clear,5/12/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,79,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Montana,Clear,5/12/2011,1,Rural-Major Collector,35,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Nebraska,Rain,5/12/2011,1,Rural-Principal Arterial-Other,48,Driver of a Motor Vehicle In-Transport,Possible Injury (C),4
Nebraska,Rain,5/12/2011,1,Rural-Principal Arterial-Other,85,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Massachusetts,Cloudy,5/12/2011,1,Rural-Principal Arterial-Other,74,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Massachusetts,Cloudy,5/12/2011,1,Rural-Principal Arterial-Other,83,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Connecticut,Clear,5/13/2011,1,Rural-Minor Arterial,84,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Idaho,Clear,5/13/2011,1,Rural-Principal Arterial-Other,22,Driver of a Motor Vehicle In-Transport,No Injury (O),5
New Hampshire,Clear,5/14/2011,1,Rural-Local Road or Street,91,Pedestrian,Fatal Injury (K),6
Idaho,Clear,5/14/2011,1,Rural-Principal Arterial-Interstate,67,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Nebraska,Cloudy,5/14/2011,2,Rural-Principal Arterial-Other,18,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Nebraska,Cloudy,5/14/2011,2,Rural-Principal Arterial-Other,53,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Nebraska,Cloudy,5/14/2011,2,Rural-Principal Arterial-Other,59,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Massachusetts,Clear,5/14/2011,1,Urban-Local Road or Street,33,Passenger of a Motor Vehicle In-Transport,No Injury (O),6
Massachusetts,Clear,5/14/2011,1,Urban-Local Road or Street,38,Driver of a Motor Vehicle In-Transport,No Injury (O),6
South Dakota,Unknown,5/14/2011,1,Rural-Major Collector,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Maine,Rain,5/16/2011,1,Rural-Minor Arterial,50,Driver of a Motor Vehicle In-Transport,No Injury (O),1
Maine,Rain,5/16/2011,1,Rural-Minor Arterial,51,Pedestrian,Fatal Injury (K),1
Delaware,Clear,5/16/2011,1,Urban-Other Principal Arterial,70,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),1
Idaho,Cloudy,5/16/2011,2,Rural-Principal Arterial-Other,22,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),1
Idaho,Cloudy,5/17/2011,2,Rural-Minor Arterial,18,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),2
Wyoming,"Sleet, Hail (Freezing Rain or Drizzle)",5/18/2011,1,Rural-Minor Arterial,4,Passenger of a Motor Vehicle In-Transport,No Injury (O),3
Wyoming,"Sleet, Hail (Freezing Rain or Drizzle)",5/18/2011,1,Rural-Minor Arterial,29,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Wyoming,"Sleet, Hail (Freezing Rain or Drizzle)",5/18/2011,1,Rural-Minor Arterial,40,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
Wyoming,Clear,5/18/2011,1,Urban-Other Principal Arterial,21,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
Wyoming,Clear,5/18/2011,1,Urban-Other Principal Arterial,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Hawaii,Clear,5/18/2011,1,Rural-Minor Arterial,45,Passenger of a Motor Vehicle In-Transport,No Injury (O),3
Hawaii,Clear,5/18/2011,1,Rural-Minor Arterial,55,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
New Hampshire,Rain,5/19/2011,1,Rural-Principal Arterial-Interstate,40,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Wyoming,Rain,5/19/2011,1,Urban-Collector,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Wyoming,Rain,5/19/2011,1,Urban-Collector,20,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Wyoming,Rain,5/19/2011,1,Urban-Collector,30,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Delaware,Clear,5/19/2011,1,Urban-Other Principal Arterial,40,Pedestrian,Fatal Injury (K),4
Delaware,Clear,5/19/2011,1,Urban-Other Principal Arterial,58,Driver of a Motor Vehicle In-Transport,Possible Injury (C),4
Nebraska,Rain,5/19/2011,1,Urban-Other Principal Arterial,29,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Connecticut,Clear,5/20/2011,1,Urban-Other Principal Arterial,43,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Connecticut,Clear,5/20/2011,1,Urban-Other Principal Arterial,54,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Nebraska,Clear,5/20/2011,1,Rural-Principal Arterial-Other,60,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Massachusetts,Cloudy,5/20/2011,1,Rural-Principal Arterial-Other,50,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
New Hampshire,Rain,5/21/2011,1,Urban-Principal Arterial-Interstate,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Idaho,Clear,5/21/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,16,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Idaho,Clear,5/21/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Connecticut,Clear,5/22/2011,2,Urban-Minor Arterial,15,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),7
Connecticut,Clear,5/22/2011,2,Urban-Minor Arterial,22,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Vermont,Cloudy,5/22/2011,1,Rural-Major Collector,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
North Dakota,Clear,5/23/2011,1,Urban-Other Principal Arterial,70,Pedestrian,Fatal Injury (K),1
Maine,Cloudy,5/23/2011,1,Rural-Minor Arterial,39,Driver of a Motor Vehicle In-Transport,Possible Injury (C),1
Hawaii,Clear,5/23/2011,1,Urban-Other Principal Arterial,86,Pedestrian,Fatal Injury (K),1
Nebraska,Clear,5/23/2011,1,Rural-Local Road or Street,33,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),1
District of Columbia,Clear,5/24/2011,1,Urban-Local Road or Street,27,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),2
District of Columbia,Clear,5/24/2011,1,Urban-Local Road or Street,30,Driver of a Motor Vehicle In-Transport,Possible Injury (C),2
Delaware,Clear,5/24/2011,1,Urban-Minor Arterial,30,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),2
Nebraska,Rain,5/24/2011,1,Rural-Local Road or Street,23,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),2
Nebraska,Rain,5/24/2011,1,Rural-Local Road or Street,47,Driver of a Motor Vehicle In-Transport,No Injury (O),2
Massachusetts,Cloudy,5/24/2011,1,Urban-Local Road or Street,72,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),2
Wyoming,Clear,5/25/2011,1,Urban-Local Road or Street,33,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Delaware,Clear,5/25/2011,2,Urban-Minor Arterial,4,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
Delaware,Clear,5/25/2011,2,Urban-Minor Arterial,6,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
Delaware,Clear,5/25/2011,2,Urban-Minor Arterial,25,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
Delaware,Clear,5/25/2011,2,Urban-Minor Arterial,40,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),3
Montana,Cloudy,5/25/2011,1,Rural-Local Road or Street,7,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
New Hampshire,Clear,5/26/2011,1,Rural-Local Road or Street,26,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),4
Massachusetts,Clear,5/26/2011,1,Urban-Local Road or Street,26,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
New Hampshire,Clear,5/27/2011,1,Rural-Minor Collector,67,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Alaska,Cloudy,5/27/2011,1,Urban-Local Road or Street,4,Pedestrian,Fatal Injury (K),5
Alaska,Cloudy,5/27/2011,1,Urban-Local Road or Street,25,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Montana,Rain,5/27/2011,2,Urban-Minor Arterial,3,Passenger of a Motor Vehicle In-Transport,"Injured, Severity Unknown",5
Montana,Rain,5/27/2011,2,Urban-Minor Arterial,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Montana,Rain,5/27/2011,2,Urban-Minor Arterial,19,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
New Hampshire,Clear,5/28/2011,1,Rural-Minor Collector,70,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Connecticut,Clear,5/28/2011,1,Urban-Principal Arterial-Interstate,27,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Connecticut,Clear,5/28/2011,1,Urban-Principal Arterial-Interstate,27,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Maine,Cloudy,5/28/2011,1,Rural-Local Road or Street,19,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Maine,Cloudy,5/28/2011,1,Rural-Local Road or Street,21,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Maine,Cloudy,5/28/2011,1,Rural-Local Road or Street,27,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),6
Massachusetts,"Fog, Smog, Smoke",5/29/2011,1,Urban-Principal Arterial-Interstate,28,Driver of a Motor Vehicle In-Transport,No Injury (O),7
Massachusetts,"Fog, Smog, Smoke",5/29/2011,1,Urban-Principal Arterial-Interstate,46,Driver of a Motor Vehicle In-Transport,No Injury (O),7
Massachusetts,"Fog, Smog, Smoke",5/29/2011,1,Urban-Principal Arterial-Interstate,40,Pedestrian,Fatal Injury (K),7
Montana,Rain,5/29/2011,1,Rural-Principal Arterial-Other,12,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),7
Montana,Rain,5/29/2011,1,Rural-Principal Arterial-Other,15,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),7
Montana,Rain,5/29/2011,1,Rural-Principal Arterial-Other,47,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),7
Montana,Rain,5/29/2011,1,Rural-Principal Arterial-Other,47,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Rhode Island,Clear,5/30/2011,2,Urban-Minor Arterial,68,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),1
Rhode Island,Clear,5/30/2011,2,Urban-Minor Arterial,73,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),1
Utah,Clear,5/30/2011,1,Rural-Minor Arterial,35,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),1
Utah,Clear,5/30/2011,1,Rural-Minor Arterial,92,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),1
Nebraska,Rain,5/30/2011,1,Rural-Principal Arterial-Other,,Driver of a Motor Vehicle In-Transport,No Injury (O),1
New Hampshire,Clear,5/31/2011,1,Urban-Collector,47,Passenger of a Motor Vehicle In-Transport,No Injury (O),2
New Hampshire,Clear,5/31/2011,1,Urban-Collector,69,Driver of a Motor Vehicle In-Transport,No Injury (O),2
Utah,Clear,5/31/2011,2,Urban-Local Road or Street,19,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),2
Utah,Clear,5/31/2011,2,Urban-Local Road or Street,44,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),2
Utah,Clear,5/31/2011,2,Urban-Local Road or Street,45,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),2
District of Columbia,Clear,5/31/2011,1,Urban-Local Road or Street,32,Driver of a Motor Vehicle In-Transport,No Injury (O),2
District of Columbia,Clear,5/31/2011,1,Urban-Local Road or Street,33,Passenger of a Motor Vehicle In-Transport,No Injury (O),2
District of Columbia,Clear,5/31/2011,1,Urban-Local Road or Street,51,Pedestrian,Fatal Injury (K),2
Vermont,Rain,6/1/2011,1,Urban-Minor Arterial,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Vermont,Rain,6/1/2011,1,Urban-Minor Arterial,41,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),3
Maine,Clear,6/1/2011,2,Rural-Local Road or Street,22,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
Utah,Clear,6/1/2011,1,Rural-Minor Arterial,34,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Rhode Island,Clear,6/2/2011,1,Urban-Other Principal Arterial,51,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
North Dakota,Cloudy,6/2/2011,1,Urban-Local Road or Street,63,Driver of a Motor Vehicle In-Transport,No Injury (O),4
North Dakota,Severe Crosswinds,6/2/2011,1,Urban-Principal Arterial-Interstate,66,Driver of a Motor Vehicle In-Transport,Possible Injury (C),4
Nebraska,Clear,6/2/2011,1,Rural-Principal Arterial-Other,81,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Nebraska,Clear,6/2/2011,1,Rural-Principal Arterial-Other,,Passenger of a Motor Vehicle In-Transport,No Injury (O),4
Rhode Island,Clear,6/3/2011,1,Rural-Minor Arterial,19,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
South Dakota,Clear,6/3/2011,1,Rural-Principal Arterial-Interstate,38,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),5
North Dakota,Clear,6/3/2011,1,Rural-Principal Arterial-Other,41,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
North Dakota,Clear,6/3/2011,1,Rural-Principal Arterial-Other,72,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Connecticut,Clear,6/3/2011,1,Rural-Minor Arterial,27,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Delaware,Clear,6/3/2011,1,Rural-Principal Arterial-Other,60,Driver of a Motor Vehicle In-Transport,Possible Injury (C),5
Montana,Clear,6/3/2011,1,Urban-Other Principal Arterial,23,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Montana,Clear,6/3/2011,1,Urban-Other Principal Arterial,30,Driver of a Motor Vehicle In-Transport,Possible Injury (C),5
Nebraska,Severe Crosswinds,6/3/2011,1,Rural-Principal Arterial-Interstate,56,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),5
Nebraska,Severe Crosswinds,6/3/2011,1,Rural-Principal Arterial-Interstate,58,Driver of a Motor Vehicle In-Transport,No Injury (O),5
District of Columbia,Clear,6/4/2011,1,Urban-Local Road or Street,46,Driver of a Motor Vehicle In-Transport,No Injury (O),6
North Dakota,Clear,6/4/2011,1,Rural-Minor Arterial,9,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
North Dakota,Clear,6/4/2011,1,Rural-Minor Arterial,41,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
North Dakota,Clear,6/4/2011,1,Rural-Minor Arterial,45,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),6
Wyoming,Clear,6/4/2011,1,Rural-Local Road or Street,22,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Wyoming,Clear,6/4/2011,1,Urban-Other Principal Arterial,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
District of Columbia,Clear,6/4/2011,1,Urban-Local Road or Street,54,Bicyclist,Fatal Injury (K),6
Maine,Clear,6/5/2011,1,Rural-Local Road or Street,27,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Massachusetts,Clear,6/5/2011,1,Urban-Principal Arterial-Interstate,26,Passenger of a Motor Vehicle In-Transport,No Injury (O),7
Nebraska,Clear,6/5/2011,1,Rural-Local Road or Street,57,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
North Dakota,Clear,6/6/2011,1,Rural-Local Road or Street,16,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),1
North Dakota,Not Reported,6/6/2011,2,Rural-Local Road or Street,26,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),1
Nebraska,Severe Crosswinds,6/7/2011,2,Rural-Minor Arterial,35,Driver of a Motor Vehicle In-Transport,No Injury (O),2
Nebraska,Severe Crosswinds,6/7/2011,2,Rural-Minor Arterial,64,Driver of a Motor Vehicle In-Transport,Possible Injury (C),2
Nebraska,Severe Crosswinds,6/7/2011,2,Rural-Minor Arterial,66,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),2
South Dakota,Cloudy,6/8/2011,1,Rural-Principal Arterial-Other,39,Driver of a Motor Vehicle In-Transport,No Injury (O),3
South Dakota,Cloudy,6/8/2011,1,Rural-Principal Arterial-Other,78,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
North Dakota,Clear,6/8/2011,1,Rural-Local Road or Street,43,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
North Dakota,Clear,6/8/2011,1,Rural-Local Road or Street,55,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
New Hampshire,Clear,6/8/2011,1,Rural-Principal Arterial-Interstate,39,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Delaware,Clear,6/8/2011,1,Urban-Minor Arterial,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Montana,Cloudy,6/8/2011,2,Rural-Principal Arterial-Interstate,22,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Montana,Cloudy,6/8/2011,2,Rural-Principal Arterial-Interstate,24,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),3
Montana,Cloudy,6/8/2011,2,Rural-Principal Arterial-Interstate,34,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
Montana,Cloudy,6/8/2011,2,Rural-Principal Arterial-Interstate,41,Driver of a Motor Vehicle In-Transport,No Injury (O),3
Nebraska,Clear,6/8/2011,2,Urban-Other Principal Arterial,15,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),3
Nebraska,Clear,6/8/2011,2,Urban-Other Principal Arterial,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),3
Maine,Clear,6/9/2011,1,Rural-Local Road or Street,19,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Maine,Rain,6/9/2011,1,Rural-Minor Arterial,28,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Nebraska,Rain,6/9/2011,1,Rural-Major Collector,55,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Nebraska,Clear,6/9/2011,1,Urban-Local Road or Street,20,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Nebraska,Rain,6/9/2011,2,Rural-Principal Arterial-Other,21,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),4
Nebraska,Rain,6/9/2011,2,Rural-Principal Arterial-Other,54,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
South Dakota,Clear,6/10/2011,1,Rural-Minor Arterial,36,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
New Hampshire,Clear,6/10/2011,1,Rural-Minor Collector,63,Bicyclist,Incapacitating Injury (A),5
New Hampshire,Clear,6/10/2011,1,Rural-Minor Collector,64,Bicyclist,Fatal Injury (K),5
Idaho,Clear,6/10/2011,1,Rural-Principal Arterial-Other,4,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Idaho,Clear,6/10/2011,1,Rural-Principal Arterial-Other,24,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Idaho,Clear,6/10/2011,1,Rural-Principal Arterial-Other,46,Passenger of a Motor Vehicle In-Transport,No Injury (O),5
Idaho,Clear,6/11/2011,1,Rural-Minor Arterial,2,Passenger of a Motor Vehicle In-Transport,Possible Injury (C),6
Idaho,Clear,6/11/2011,1,Rural-Minor Arterial,63,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Montana,Cloudy,6/11/2011,1,Urban-Other Principal Arterial,19,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Massachusetts,Rain,6/11/2011,1,Urban-Local Road or Street,79,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Massachusetts,Rain,6/11/2011,1,Urban-Local Road or Street,,Passenger of a Motor Vehicle In-Transport,Unknown,6
Nebraska,Cloudy,6/12/2011,1,Rural-Major Collector,20,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),7
Delaware,Clear,6/13/2011,1,Urban-Collector,18,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),1
Delaware,Clear,6/13/2011,1,Urban-Collector,37,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),1
Idaho,Cloudy,6/13/2011,1,Rural-Principal Arterial-Interstate,64,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),1
Idaho,Cloudy,6/13/2011,1,Rural-Principal Arterial-Interstate,71,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),1
Montana,Clear,6/13/2011,1,Rural-Local Road or Street,16,Passenger of a Motor Vehicle In-Transport,No Injury (O),1
Montana,Clear,6/13/2011,1,Rural-Local Road or Street,17,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),1
Montana,Clear,6/13/2011,1,Rural-Local Road or Street,17,Passenger of a Motor Vehicle In-Transport,No Injury (O),1
Montana,Cloudy,6/13/2011,1,Rural-Unknown Rural,12,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),1
Montana,Cloudy,6/13/2011,1,Rural-Unknown Rural,16,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),1
Montana,Cloudy,6/13/2011,1,Rural-Unknown Rural,17,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),1
Montana,Cloudy,6/13/2011,1,Rural-Unknown Rural,18,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),1
Montana,Cloudy,6/13/2011,1,Rural-Unknown Rural,20,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),1
North Dakota,Rain,6/14/2011,1,Rural-Principal Arterial-Other,11,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),2
North Dakota,Rain,6/14/2011,1,Rural-Principal Arterial-Other,16,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),2
North Dakota,Rain,6/14/2011,1,Rural-Principal Arterial-Other,78,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),2
Massachusetts,Cloudy,6/14/2011,1,Urban-Other Principal Arterial,48,Driver of a Motor Vehicle In-Transport,No Injury (O),2
Maine,Clear,6/15/2011,1,Rural-Minor Arterial,82,Driver of a Motor Vehicle In-Transport,No Injury (O),3
Maine,Clear,6/15/2011,1,Rural-Minor Arterial,86,Pedestrian,Fatal Injury (K),3
Hawaii,Cloudy,6/15/2011,1,Urban-Minor Arterial,37,Driver of a Motor Vehicle In-Transport,No Injury (O),3
New Hampshire,Clear,6/15/2011,1,Rural-Minor Collector,61,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),3
Massachusetts,Cloudy,6/16/2011,1,Urban-Local Road or Street,30,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Idaho,Clear,6/16/2011,1,Rural-Major Collector,17,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Connecticut,Clear,6/16/2011,1,Urban-Collector,4,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Connecticut,Clear,6/16/2011,1,Urban-Collector,21,Passenger of a Motor Vehicle In-Transport,Incapacitating Injury (A),4
Connecticut,Clear,6/16/2011,1,Urban-Collector,23,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Connecticut,Clear,6/16/2011,1,Urban-Collector,24,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),4
Connecticut,Clear,6/16/2011,1,Urban-Collector,38,Driver of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),4
Connecticut,Clear,6/16/2011,1,Urban-Collector,40,Driver of a Motor Vehicle In-Transport,No Injury (O),4
Nebraska,Cloudy,6/16/2011,1,Rural-Major Collector,56,Bicyclist,Fatal Injury (K),4
Rhode Island,Clear,6/17/2011,1,Urban-Other Principal Arterial,26,Driver of a Motor Vehicle In-Transport,No Injury (O),5
Rhode Island,Clear,6/17/2011,1,Urban-Other Principal Arterial,53,Pedestrian,Fatal Injury (K),5
Rhode Island,Clear,6/17/2011,1,Urban-Other Principal Arterial,54,Pedestrian,Non-incapacitating Evident Injury (B),5
Montana,Cloudy,6/17/2011,1,Rural-Principal Arterial-Interstate,11,Passenger of a Motor Vehicle In-Transport,Non-incapacitating Evident Injury (B),5
Montana,Cloudy,6/17/2011,1,Rural-Principal Arterial-Interstate,30,Passenger of a Motor Vehicle In-Transport,Fatal Injury (K),5
Massachusetts,Cloudy,6/17/2011,1,Urban-Local Road or Street,23,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
District of Columbia,Clear,6/17/2011,1,Urban-Local Road or Street,39,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),5
Wyoming,Cloudy,6/18/2011,1,Rural-Principal Arterial-Other,73,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Wyoming,Clear,6/18/2011,1,Urban-Local Road or Street,21,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
Delaware,Cloudy,6/18/2011,1,Rural-Major Collector,78,Driver of a Motor Vehicle In-Transport,Incapacitating Injury (A),6
Connecticut,Clear,6/18/2011,1,Urban-Principal Arterial-Interstate,60,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Connecticut,Clear,6/18/2011,1,Urban-Principal Arterial-Interstate,,Driver of a Motor Vehicle In-Transport,No Injury (O),6
Connecticut,Clear,6/18/2011,1,Urban-Principal Arterial-Other Freeways or Expressways,47,Driver of a Motor Vehicle In-Transport,Fatal Injury (K),6
